         1          1       1040
         1          1       2199
         1          1       2372
         1          1       2495
         1          1       3159
         1          1       3186
         1          1       4750
         1          1       4995
         2          2       2495
         3          3       1040
         3          3       2199
         3          3       2372
         3          3       3159
         3          3       3186
         3          3       4995
         4          4       1040
         4          4       2199
         4          4       2315
         4          4       2372
         4          4       2495
         4          4       3159
         4          4       3186
         4          4       4750
         4          4       4995
         5          5       1040
         5          5       2199
         5          5       2315
         5          5       2372
         5          5       3159
         5          5       3186
         5          5       4750
         5          5       4995
         6          6       1040
         6          6       2199
         6          6       2372
         6          6       2495
         6          6       3159
         6          6       3186
         6          6       4750
         6          6       4995
         7          7       1040
         7          7       2199
         7          7       2315
         7          7       3159
         7          7       3186
         7          7       4750
         7          7       4995
         8          8       1040
         8          8       2372
         8          8       2495
         8          8       3159
         8          8       3186
         8          8       4750
         8          8       4995
         9          9       1040
         9          9       2199
         9          9       2315
         9          9       2372
         9          9       2495
         9          9       3159
         9          9       3186
         9          9       4750
         9          9       4995
        10         10       1040
        10         10       2199
        10         10       2315
        10         10       2372
        10         10       3159
        10         10       3186
        10         10       4750
        10         10       4995
        11         11       1040
        11         11       2199
        11         11       2315
        11         11       3159
        11         11       3186
        11         11       4750
        11         11       4995
        12         12       1040
        12         12       2199
        12         12       2315
        12         12       2372
        12         12       3159
        12         12       3186
        12         12       4750
        12         12       4995
        13         13       1040
        13         13       2199
        13         13       2372
        13         13       2495
        13         13       3159
        13         13       3186
        13         13       4750
        13         13       4995
        14         14       1040
        14         14       2315
        14         14       2372
        14         14       2495
        14         14       3186
        14         14       4750
        14         14       4995
        15         15       1040
        15         15       2199
        15         15       2315
        15         15       2372
        15         15       3159
        15         15       3186
        15         15       4750
        15         15       4995
        16         16       2495
        17         17       1280
        17         17       2495
        17         17       2872
        18         18       2315
        18         18       3186
        18         18       4750
        18         18       4995
        19         19       1040
        19         19       2199
        19         19       2315
        19         19       2372
        19         19       3159
        19         19       3186
        19         19       4750
        19         19       4995
        20         20       2495
        21         21       1040
        21         21       2199
        21         21       2315
        21         21       2372
        21         21       3159
        21         21       3186
        21         21       4750
        21         21       4995
        22         22       2495
        23         23       1040
        23         23       2199
        23         23       2372
        23         23       3159
        23         23       3186
        23         23       4750
        23         23       4995
        24         24       2199
        24         24       2315
        24         24       2372
        24         24       2495
        24         24       3159
        24         24       3186
        24         24       4750
        24         24       4995
        25         25       1040
        25         25       2199
        25         25       2315
        25         25       2372
        25         25       3159
        25         25       3186
        25         25       4750
        25         25       4995
        26         26       1040
        26         26       2315
        26         26       3159
        26         26       3186
        26         26       4750
        26         26       4995
        27         27       1040
        27         27       2199
        27         27       2315
        27         27       2372
        27         27       3159
        27         27       3186
        27         27       4750
        27         27       4995
        28         28       2495
        29         29       1040
        29         29       2199
        29         29       2315
        29         29       2372
        29         29       3159
        29         29       4750
        29         29       4995
        30         30       2495
        31         31       1040
        31         31       2199
        31         31       2315
        31         31       2372
        31         31       3159
        31         31       3186
        31         31       4750
        31         31       4995
        32         32       1040
        32         32       2199
        32         32       2315
        32         32       2372
        32         32       3159
        32         32       3186
        32         32       4750
        32         32       4995
        33         33       2495
        34         34       1040
        34         34       2199
        34         34       2315
        34         34       2372
        34         34       3159
        34         34       3186
        34         34       4750
        34         34       4995
        35         35       1040
        35         35       2199
        35         35       2315
        35         35       2372
        35         35       3159
        35         35       3186
        35         35       4750
        35         35       4995
        36         36       2495
        37         37       1040
        37         37       2372
        37         37       3159
        37         37       3186
        37         37       4750
        37         37       4995
        38         38       1040
        38         38       1280
        38         38       2199
        38         38       2315
        38         38       2372
        38         38       2495
        38         38       2872
        38         38       3159
        38         38       3186
        38         38       4750
        38         38       4995
        39         39       1040
        39         39       2199
        39         39       2315
        39         39       2372
        39         39       3159
        39         39       3186
        39         39       4750
        39         39       4995
        40         40       2495
        41         41       1040
        41         41       2199
        41         41       2372
        41         41       3159
        41         41       3186
        41         41       4750
        42         42       1040
